genera	gene_id
Lactococcus	FARS2
Collinsella	MAP4K3
Gemella	SLC37A4
Phascolarctobacterium	KYAT3
Streptococcus	KYAT3
Haemophilus	ABCC9
Turicibacter	STK3
Leuconostoc	BRAF
Weissella	FARS2
Desulfovibrio	RDH12
Anaerofustis	ATP4A
Coprococcus	HADH
Phascolarctobacterium	STK38
Streptococcus	STK38
Acinetobacter	RPS6KA3
Faecalibacterium	PDHB
Eggerthella	HSP90B1
Eggerthella	SLC6A3
Roseburia	ACSS2
Blautia	NNT
Solobacterium	TAOK1
Dorea	AQP1
Selenomonas	NIM1K
Veillonella	MTHFD2
Roseburia	MAP3K12
Clostridium	MAP3K6
Peptoniphilus	PIM3
Odoribacter	SLC5A8
Anaerostipes	CSK
Eggerthella	NEK11
Providencia	DHRS4
Acinetobacter	TIE1
Megasphaera	PCCB
Holdemania	EPHB2
Lactococcus	NT5E
Shigella	ABCB5
Leuconostoc	CBS
Leuconostoc	PLK3
Helicobacter	HARS
Pyramidobacter	HSD17B4
Holdemania	CHUK
Bacteroides	NUAK1
Leuconostoc	SHMT2
Weissella	OAT
Escherichia	MARK1
Peptoniphilus	LDHB
Slackia	ABCC8
Actinomyces	MAP3K10
Roseburia	GATB
Sutterella	DLD
Victivallis	ULK1
Citrobacter	LDHC
Anaerofustis	TLK1
Collinsella	ABCA1
Enterobacter	MAP3K13
Fusobacterium	FPGS
Coprobacillus	TNIK
Clostridium	SLC37A4
Escherichia	SORD
Gemella	MAP2K5
Blautia	GPT2
Gemella	MAP2K6
Odoribacter	DNPEP
Mitsuokella	STK3
Veillonella	SLK
Providencia	ABCB11
Gemella	VARS
Eggerthella	PCCB
Sutterella	HSPA8
Lactobacillus	GAPDHS
Granulicatella	KARS
Gemella	CSF1R
Akkermansia	BTK
Acidaminococcus	EPHA2
Delftia	IMPA2
Enterococcus	XDH
Veillonella	SRR
Coprobacillus	BLK
Coprococcus	TSSK1B
Enterococcus	NUAK1
Phascolarctobacterium	PRKG2
Streptococcus	PRKG2
Helicobacter	MT-ND1
Enterobacter	NEK5
Actinomyces	AAK1
Subdoligranulum	ABCG2
Campylobacter	ABCC9
Victivallis	ALAS2
Victivallis	ENO1
Anaerococcus	ROCK1
Oribacterium	MAP2K2
Anaerotruncus	INSR
Alistipes	ATP4A
Lactococcus	MTHFR
Anaerotruncus	SDHA
Blautia	PAK4
Actinomyces	DAPK2
Anaerotruncus	MAPK3
Acidaminococcus	PRKAA1
Shigella	TSTA3
Turicibacter	STK35
Actinomyces	SLC2A2
Blautia	SPTLC3
Bacteroides	IMPDH2
Lactococcus	ABL1
Weissella	MYLK2
Slackia	IRAK4
Gemella	PECR
Dorea	STK26
Pyramidobacter	GLUD1
Oxalobacter	AGXT
Gemella	GSK3A
Clostridium	MAP2K5
Campylobacter	RRM2
Phascolarctobacterium	MAPKAPK5
Streptococcus	MAPKAPK5
Escherichia	GCAT
Clostridium	MAP2K6
Actinomyces	SLC5A2
Victivallis	TAT
Phascolarctobacterium	OTC
Megasphaera	GAPDHS
Bilophila	HDAC11
Streptococcus	OTC
Blautia	BRAF
Veillonella	ERBB4
Clostridium	VARS
Lactobacillus	INSR
Prevotella	ABCC1
Lactobacillus	SDHA
Granulicatella	MAPK7
Granulicatella	NARS
Lactobacillus	MAPK3
Dialister	MINK1
Granulicatella	NEK9
Dorea	TUFM
Prevotella	EIF2AK2
Clostridium	DHFR
Roseburia	GANAB
Prevotella	MELK
Dorea	MAP4K4
Succinatimonas	GOT2
Dialister	SLC1A7
Dorea	EPHA3
Klebsiella	GAPDH
Acidaminococcus	AZIN2
Gemella	LDHA
Turicibacter	DARS
Anaerococcus	MYLK
Bifidobacterium	MAPK10
Anaerofustis	SARS
Peptostreptococcus	RRM2B
Paraprevotella	AKR1D1
Anaerotruncus	PRKD1
Coprococcus	PRKCZ
Peptostreptococcus	MAP3K15
Enterobacter	SPTLC2
Roseburia	MAST1
Holdemania	TGFBR1
Bacteroides	RIPK2
Citrobacter	GLS
Treponema	PFAS
Desulfovibrio	BLK
Enterococcus	IMPDH2
Leuconostoc	TTK
Odoribacter	ADH1C
Victivallis	ALDH18A1
Achromobacter	MT-ND3
Anaerococcus	TYMS
Faecalibacterium	FPGS
Roseburia	NARS2
Anaerococcus	PRKCI
Bacteroides	KCNC4
Haemophilus	GLUD1
Streptococcus	CAMK1D
Gemella	SRC
Blautia	CBS
Blautia	PLK3
